secid,description,founded,headquarters,employees,sector,ceo,link
DZRDP,"ПАО «Донской завод радиодеталей» (DZRDP) — привилегированные акции одного из ключевых российских производителей электронных компонентов и радиодеталей. Компания является стратегически важным предприятием в сфере микроэлектроники, обеспечивая поставки критически важных компонентов для оборонно-промышленного комплекса, телекоммуникационного оборудования и бытовой техники. В последние годы завод активно модернизирует производство, внедряя технологии Industry 4.0, и участвует в федеральных программах по импортозамещению электронной компонентной базы. Предприятие имеет сертифицированные производственные линии, соответствующие международным стандартам ISO, и сотрудничает с ведущими техническими вузами страны в области подготовки кадров и разработки инновационных решений.",1963,"Ростов-на-Дону, Россия",5 000+,Электронная промышленность,Василий Гусев,https://www.dzrd.ru
EELT,"ПАО «ЭнергоРлектроТехника» (EELT) — ведущий российский производитель энергетического оборудования и электротехнической продукции. Компания специализируется на разработке и производстве трансформаторов, распределительных устройств, систем релейной защиты и автоматики для энергетических объектов. EELT играет ключевую роль в обеспечении устойчивости российской энергосистемы, поставляя оборудование для крупных генерирующих компаний, сетевых организаций и промышленных предприятий. В последние годы компания активно развивает направление «умных» энергетических решения и цифровых подстанций, соответствующих концепции Industry 4.0. Предприятие имеет полный цикл производства от разработки до испытаний готовой продукции и сертифицировано по международным стандартам качества.",2004,"Санкт-Петербург, Россия",3 500+,Электротехническая промышленность,Илья Каленков,https://www.eelt.ru
ELFV,"ПАО «ЭЛ5-Энерго» — одна из крупнейших российских генерирующих компаний, входящая в энергетический дивизион Госкорпорации «Росатом». Компания объединяет несколько тепловых электростанций общей установленной мощностью свыше 9 ГВт, расположенных в ключевых регионах России. Основные активы включают Рефтинскую, Конаковскую, Нововоронежскую и другие крупные ГРЭС. Компания специализируется на производстве электрической и тепловой энергии, обеспечивая значительную долю энергопотребления промышленных центров Урала и Центральной России. В последние годы «ЭЛ5-Энерго» активно модернизирует оборудование, внедряет цифровые технологии управления энергоблоками и развивает экологические программы по снижению выбросов. Компания играет стратегическую роль в обеспечении энергобезопасности страны и является важным элементом единой энергосистемы России.",2004,"Москва, Россия",5 000+,Электроэнергетика,Тналин Алибек,https://www.el5-energy.ru
ELMT,"ПАО «Элемент» (ELMT) — крупнейший российский производитель литий-ионных аккумуляторов и систем накопления энергии. Компания является ключевым игроком на рынке энергонакопительных технологий, обеспечивая продукцией предприятия оборонно-промышленного комплекса, производителей электромобилей и объектов возобновляемой энергетики. В 2022 году компания запустила первую в России гигафабрику аккумуляторов мощностью 4 ГВт·ч в год, что стало важным шагом в импортозамещении критически важных технологий. Производственный комплекс включает полный цикл от синтеза катодных материалов до сборки аккумуляторных модулей. Компания активно сотрудничает с Росатомом, Роскосмосом и ведущими автопроизводителями, разрабатывая новые типы аккумуляторов с улучшенными характеристиками. В планах компании — выход на международные рынки и создание исследовательского центра по разработке аккумуляторов нового поколения.",2017,"Москва, Россия",2 500+,Производство аккумуляторов и систем накопления энергии,Иванцов Илья,https://element-energo.ru
ENPG,"ПАО «Эн+ Групп» (ENPG) — ведущая российская энергопромышленная компания, объединяющая крупнейшие активы в сфере гидроэнергетики, цветной металлургии и возобновляемой энергетики. Является материнской компанией для «Русала» - мирового лидера алюминиевой отрасли. Компания управляет каскадом гидроэлектростанций в Сибири общей мощностью свыше 15 ГВт, включая такие гиганты как Красноярская и Братская ГЭС. В структуру группы входят: 1) Энергетический дивизион - 15 ГЭС и 2 ТЭЦ; 2) Металлургический дивизион - 10 алюминиевых заводов; 3) Горнорудный дивизион - добыча бокситов и нефелинов. Компания реализует масштабную программу экологической модернизации, инвестируя в технологии снижения углеродного следа и развитие «зеленого» алюминия. В 2022 году запущен инновационный проект по производству алюминия с использованием солнечной энергии мощностью 1,5 млн тонн в год.",2002,"Москва, Россия",60 000+,Энергетика и металлургия,Владимир Колмогоров,https://www.enplus.ru
ETLN,"Etalon Group PLC — один из крупнейших российских девелоперов с более чем 35-летним опытом работы на рынке. Компания специализируется на строительстве жилых комплексов бизнес- и комфорт-класса в Москве, Санкт-Петербурге и Московской области. В портфеле Etalon Group более 100 реализованных проектов общей площадью свыше 10 млн кв. м. Компания обладает полным циклом строительства — от проектирования до сдачи объектов «под ключ». В 2022 году вошла в тройку лидеров по объему ввода жилья в Московском регионе. Особенностью компании является использование инновационных строительных технологий, включая BIM-моделирование и собственные разработки в области энергоэффективности. Etalon Group также развивает направление коммерческой недвижимости, управляя торговыми центрами и офисными зданиями общей площадью более 500 тыс. кв. м.",1987,"Санкт-Петербург, Россия",5 200+,Девелопмент и строительство,Геннадий Щербина,https://www.etalongroup.com
EUTR,"ПАО «ЕвроТранс» (бренд ТРАССА) — один из крупнейших независимых топливных операторов России с более чем 27-летней историей работы на рынке Московского региона. Компания входит в перечень системообразующих предприятий российской экономики, утверждённый Минэкономразвития РФ. Основная деятельность включает управление сетью из 57 автозаправочных комплексов под брендом «ТРАССА», эксплуатацию нефтебазы, фабрики-кухни и завода по производству незамерзающей жидкости под собственным брендом. ПАО «ЕвроТранс» обладает собственным парком из 51 бензовоза, обеспечивающим логистику топлива. В рамках стратегии диверсификации бизнеса компания активно развивает сеть быстрых электрозарядных станций, включающую 140 точек (мощностью 150, 180 и 240 кВт) на 45 объектах в Москве и Подмосковье, что соответствует трендам на экологизацию транспорта. Компания сочетает традиционные нефтетрейдинговые операции с инновационными проектами в сфере электромобильности, укрепляя позиции в секторе энергетики и транспорта.",1997,"Москва, Россия",1200+,Топливно-энергетический комплекс,Алексеенков Олег,https://www.trassa-azk.ru
FEES,"ПАО «Россети» - крупнейшая в России и одна из крупнейших в мире электросетевых компаний, осуществляющая передачу и распределение электроэнергии на территории 80 субъектов РФ. Компания управляет более 2,4 млн км линий электропередачи, 540 тыс. подстанций трансформаторной мощностью более 800 ГВА, обслуживая территорию площадью 15 млн кв. км. «Россети» являются естественным монополистом в сфере передачи электроэнергии и играют ключевую роль в обеспечении энергобезопасности страны. В последние годы компания активно реализует программу цифровой трансформации электросетевого комплекса, включая внедрение интеллектуальных систем учета электроэнергии (АИИС КУЭ) и технологий цифровых подстанций. «Россети» также участвуют в развитии зарядной инфраструктуры для электромобилей и реализации программ технологического присоединения новых потребителей.",2002,"Москва, Россия",220 000+,Электроэнергетика,Андрей Рюмин,https://www.rosseti.ru
FESH,"ПАО «Дальневосточное морское пароходство» (FESCO) - одна из крупнейших транспортно-логистических компаний России с более чем 140-летней историей. Компания является ключевым оператором морских перевозок на Дальнем Востоке, предлагая комплексные логистические решения, включающие морские контейнерные перевозки, железнодорожные и автомобильные перевозки, терминальные услуги. FESCO управляет собственным флотом из более чем 30 судов, включая контейнеровозы, балкеры и универсальные суда, а также развивает сеть контейнерных терминалов в ключевых портах Дальнего Востока. Компания играет важную роль в реализации государственной программы развития Дальнего Востока, обеспечивая транспортную связность региона и участвуя в международных транспортных коридорах. В последние годы FESCO активно инвестирует в модернизацию флота и терминальной инфраструктуры, расширяет географию перевозок и внедряет цифровые технологии для оптимизации логистических процессов.",1880,"Владивосток, Россия",5 000+,Морские перевозки и логистика,Плотников Юрий,https://www.fesco.ru
FIXP,"Fix Price Group - крупнейшая в России и СНГ сеть магазинов фиксированных низких цен, работающая по модели дискаунтера. Компания предлагает широкий ассортимент товаров повседневного спроса, включая продукты питания, хозяйственные товары, косметику, товары для дома и сезонные товары, по единой фиксированной цене (в основном 59, 99, 149 рублей). На конец 2022 года сеть насчитывала более 5 700 магазинов в России и странах СНГ. Fix Price отличается уникальной бизнес-моделью с высокой оборачиваемостью товара, эффективной логистической системой и прямыми закупками у производителей, что позволяет поддерживать низкие цены. Компания активно развивает частные марки, на которые приходится значительная доля ассортимента. В 2021 году Fix Price провела IPO на Московской и Лондонской биржах, став одной из самых заметных дебютных публичных компаний года.",2007,"Москва, Россия",30 000+,Розничная торговля,Дмитрий Кирсанов,https://www.fix-price.com
FLOT,"ПАО «Совкомфлот» — крупнейшая в России и одна из ведущих мировых компаний в области морских перевозок энергоресурсов, специализирующаяся на обслуживании нефтегазовых проектов. Компания обладает современным танкерным флотом из более чем 130 судов различного класса, включая ледокольные танкеры, газовозы и суда для перевозки сжиженного природного газа (СПГ). «Совкомфлот» играет ключевую роль в реализации арктических проектов России, включая разработку месторождений на шельфе, и является пионером в области коммерческого использования Северного морского пути. Компания активно внедряет экологичные технологии, включая суда с пониженным уровнем выбросов и альтернативными видами топлива. «Совкомфлот» обслуживает крупнейших международных и российских нефтегазовых компаний, а его акции котируются на Московской бирже. В последние годы компания расширяет географию перевозок и развивает сервисы по перевозке СПГ, что соответствует глобальным энергетическим трендам.",1988,"Санкт-Петербург, Россия",8 000+,Морские перевозки энергоресурсов,Игорь Тонковидов,https://www.sovcomflot.ru
GAZA,"ГАЗ (Горьковский автомобильный завод) — один из старейших и крупнейших производителей автомобилей в России, входящий в состав ПАО «ГАЗ» (Группа ГАЗ). Компания специализируется на производстве коммерческого транспорта, включая грузовые автомобили, автобусы, спецтехнику и легковые автомобили. Основные бренды: «ГАЗель», «Валдай», «Соболь», «ГАЗон NEXT». Завод играет ключевую роль в обеспечении транспортными средствами российского бизнеса и государственных структур. В последние годы компания активно модернизирует производство, внедряет новые модели и развивает сотрудничество с международными партнерами. ГАЗ является важным участником программы импортозамещения в автомобильной промышленности России.",1932,"Нижний Новгород, Россия",35 000+,Автомобилестроение,Золотарев Александр,https://www.gazgroup.ru
GAZAP,"ГАЗ (Горьковский автомобильный завод, привилегированные акции) — один из старейших и крупнейших производителей автомобилей в России, входящий в состав ПАО «ГАЗ» (Группа ГАЗ). Компания специализируется на производстве коммерческого транспорта, включая грузовые автомобили, автобусы, спецтехнику и легковые автомобили. Основные бренды: «ГАЗель», «Валдай», «Соболь», «ГАЗон NEXT». Завод играет ключевую роль в обеспечении транспортными средствами российского бизнеса и государственных структур. В последние годы компания активно модернизирует производство, внедряет новые модели и развивает сотрудничество с международными партнерами. ГАЗ является важным участником программы импортозамещения в автомобильной промышленности России.",1932,"Нижний Новгород, Россия",35 000+,Автомобилестроение,Золотарев Александр,https://www.gazgroup.ru
GAZC,"ПАО «ГАЗКОН» — российская финансово-инвестиционная компания, основанная в 2004 году. Занимается операциями на российском рынке ценных бумаг, размещением денег на депозитных вкладах в ведущих российских банках, инвестированием в ценные бумаги российских эмитентов и совершением сделок РЕПО с банками и инвестиционными компаниями",2004,"Москва, Россия",6+,Автомобилестроение,Кочетков Герман,https://www.gazgroup.ru
GAZP,"ПАО «Газпром» — глобальная энергетическая компания, занимающая лидирующие позиции в мире по запасам и добыче природного газа. Крупнейший производитель газа в России (около 68% национальной добычи) и один из главных поставщиков в Европу (до 2022 года обеспечивал около 35% европейского импорта). Основные направления деятельности включают: геологоразведку, добычу, транспортировку (через крупнейшую в мире газотранспортную систему протяженностью 175,2 тыс. км), хранение, переработку и реализацию газа, газового конденсата и нефти. Компания активно развивает проекты по производству сжиженного природного газа (СПГ), включая заводы «Сахалин-2» и «Балтийский СПГ», а также реализует масштабные проекты по газификации российских регионов. «Газпром» играет ключевую роль в российской экономике, формируя значительную часть бюджетных поступлений. В 2022 году компания переориентировала экспортные потоки на азиатские рынки, начав строительство газопровода «Сила Сибири-2» в Китай.",1989,"Санкт-Петербург, Россия",466 000+,Нефтегазовый сектор,Алексей Миллер,https://www.gazprom.ru
GAZS,"ОАО «ГАЗ-сервис» — московская инвестиционная компания, зарегистрированная 28 сентября 2004 года. Основные направления деятельности включают сельское хозяйство, разведение диких животных, охоту и предоставление сопутствующих услуг. Компания не имеет отношения к автомобильному концерну ПАО «ГАЗ» или его сервисной сети. Исторически занималась инвестиционной деятельностью на российском рынке ценных бумаг, вкладывая средства как в акции российских предприятий, так и в операции РЕПО с целью получения инвестиционного дохода. В своей инвестиционной стратегии компания ориентировалась на рост курсовой стоимости приобретаемых активов. На текущий момент продолжает деятельность в сфере сельского хозяйства и смежных отраслей.",2004,"Москва, Россия",,Инвестиционная деятельность,,
GAZT,"ПАО «Газ-Тек» — российская инвестиционная компания, специализирующаяся на финансовой деятельности на рынке ценных бумаг. Основные направления включают инвестиции в ценные бумаги российских эмитентов, совершение сделок купли-продажи акций и облигаций, а также размещение средств на депозитах в ведущих российских банках. Ключевым активом компании является пакет из 9,306% обыкновенных акций Банка ГПБ (АО), что составляет основу её инвестиционного портфеля. Компания действует исключительно за счет собственных средств и не имеет прямых конкурентов в своей нише. Стратегические планы включают наращивание объемов инвестиционных операций и диверсификацию портфеля за счет включения новых ценных бумаг российских компаний. «Газ-Тек» занимает уникальную позицию на рынке как специализированный инвестиционный холдинг с фокусом на банковский сектор.",2007,"Москва, Россия",2+,Инвестиционная деятельность,Кабанов Павел,
GCHE,"ПАО «Группа Черкизово» (GCHE) - одна из крупнейших вертикально интегрированных агропромышленных компаний России, занимающая лидирующие позиции в производстве мяса птицы, свинины и мясных продуктов. Компания управляет полным циклом производства - от выращивания зерновых кормов до переработки мяса и реализации готовой продукции под такими известными брендами как «Черкизово», «Петелинка» и «Курский бройлер». По данным 2023 года, компания входит в тройку крупнейших производителей мяса в стране с долей рынка около 15% в сегменте мяса птицы. «Черкизово» активно инвестирует в модернизацию производственных мощностей, внедряет инновационные технологии животноводства и развивает экспортные направления, поставляя продукцию в более чем 50 стран мира. Компания также уделяет особое внимание устойчивому развитию и экологическим инициативам в сельском хозяйстве.",2005,"Москва, Россия","35,000+",Агропромышленный комплекс,Евгений Михайлов,https://www.cherkizovo.com
GECO,"ПАО «Генетико» (GECO) - российская биотехнологическая компания, являющаяся лидером в области генетических исследований и разработки инновационных медицинских решений. Компания специализируется на персонализированной медицине, предлагая комплексные генетические тесты для диагностики наследственных заболеваний, фармакогенетики и предиктивной медицины. «Генетико» владеет одной из самых современных в России лабораторий геномного секвенирования, оснащенной оборудованием Illumina и Oxford Nanopore. Компания активно сотрудничает с ведущими медицинскими учреждениями страны, включая Национальный медицинский исследовательский центр кардиологии и Онкологический научный центр имени Блохина. В 2022 году «Генетико» запустила уникальный проект по созданию национальной генетической базы данных. Компания также разрабатывает собственные биоинформатические алгоритмы для анализа геномных данных и ведет исследования в области генной терапии редких заболеваний.",2012,"Москва, Россия",50+,Биотехнологии и генетические исследования,Владимир Каймонов,https://genetiko.ru
GEMA,"ПАО «Гемабанк» - ведущая российская биотехнологическая компания, специализирующаяся на персональном хранении стволовых клеток и разработке инновационных геннотерапевтических препаратов. Входя в группу компаний «Артген биотех», компания предлагает услуги по выделению, криоконсервации и долгосрочному хранению стволовых клеток пуповинной крови и пупочного канатика, которые используются при лечении онкологических заболеваний, болезней крови и иммунной системы. «Гемабанк» активно инвестирует в разработку прорывных геннотерапевтических препаратов для лечения гемофилии А и В, а также ВИЧ-инфекции, сотрудничая в этом направлении с биотехнологической компанией «Свифтген». Компания является участником ключевых отраслевых объединений - ассоциаций «РУСКОРД» и «НАСБИО», что подчеркивает ее значимость в российской биотехнологической отрасли. «Гемабанк» сочетает в себе функции биобанка и исследовательского центра, способствуя развитию регенеративной медицины в России.",2003,"Москва, Россия",13+,"Биотехнологии, регенеративная медицина",Исаев Артур,https://gemabank.ru
GEMC,"ПАО «Европейский медицинский центр» (GEMC) - ведущая частная сеть многопрофильных медицинских учреждений в России, предлагающая медицинские услуги премиум-класса по международным стандартам. Компания объединяет современные клиники, диагностические центры и стационары в Москве, а также партнерскую сеть по всей России и СНГ. EMC является пионером в области внедрения телемедицинских технологий в России и предлагает уникальные для российского рынка медицинские программы, включая комплексные чекапы, персонализированную онкологическую помощь и кардиореабилитацию. Центр аккредитован по международным стандартам JCI (Joint Commission International), что подтверждает соответствие его услуг мировым требованиям качества. EMC сотрудничает с ведущими зарубежными клиниками, включая Mayo Clinic и Johns Hopkins Medicine, и ежегодно обслуживает более 300 тысяч пациентов, включая 20% иностранных граждан. В 2023 году компания открыла новый ультрасовременный хирургический корпус с 20 операционными залами, оснащенными роботизированной системой Da Vinci Xi.",1989,"Москва, Россия",1300+,Частное здравоохранение,Андрей Яновский,https://www.emcmos.ru
GMKN,"ПАО «ГМК «Норильский никель» (GMKN) - российская горно-металлургическая компания, являющаяся мировым лидером по производству палладия (40% мирового производства) и никеля (15% мирового производства). Компания занимает ключевые позиции в производстве платины, меди, родия и других драгоценных металлов. Основные производственные активы расположены на Таймырском и Кольском полуостровах, включая уникальные месторождения: «Норильск-1», «Талнахское» и «Октябрьское». «Норникель» реализует масштабную экологическую программу «Серный проект» стоимостью $3.5 млрд, направленную на сокращение выбросов диоксида серы на 90% к 2025 году. Компания активно развивает цифровизацию производства, внедряя технологии искусственного интеллекта и роботизации. В 2023 году «Норникель» вошел в топ-5 мировых производителей цветных металлов по капитализации, а его продукция поставляется в 30 стран мира, включая ключевые промышленные центры Европы, Азии и Северной Америки.",1935,"Москва, Россия","21,167+",Горнодобывающая и металлургическая промышленность,Владимир Потанин,https://www.nornickel.com
GTM,"ПАО «Globaltruck» (GTM) - один из крупнейших российских операторов полнокомплектных грузовых автомобильных перевозок (FTL), занимающий лидирующие позиции на рынках Урала и Сибири. Компания обладает вторым по величине парком грузовых автомобилей среди российских перевозчиков, осуществляя перевозки по всей территории РФ и международным направлениям. Globaltruck специализируется на перевозках генеральных и навалочных грузов, предлагая клиентам комплексные логистические решения, включая экспедирование грузов и таможенное оформление. Компания активно внедряет цифровые технологии в логистику, разработав собственную систему мониторинга транспорта и управления перевозками. В 2023 году парк компании превысил 5 000 единиц современной грузовой техники, включая автопоезда повышенной грузоподъемности для работы в сложных климатических условиях. Globaltruck сотрудничает с крупнейшими промышленными предприятиями России, обеспечивая стабильные логистические цепочки для ключевых отраслей экономики.",2017,"Санкт-Петербург, Россия",5+,Грузовые автомобильные перевозки и логистика,Ивлев Евгений,https://globaltruck.ru
HEAD,"ПАО «Хэдхантер» (HEAD) - ведущая российская IT-компания, разработавшая одну из крупнейших платформ для поиска работы и подбора персонала в России и странах СНГ. Компания управляет популярным сервисом hh.ru, который ежемесячно посещают более 45 миллионов пользователей, а в базе данных содержится более 30 миллионов резюме. «Хэдхантер» предлагает инновационные решения для рекрутинга, включая систему автоматического подбора кандидатов на основе искусственного интеллекта, сервисы видеоинтервью и цифрового онбординга. Платформа объединяет более 500 тысяч работодателей, включая крупнейшие российские и международные компании. В 2023 году компания запустила новые продукты: HR-аналитику в реальном времени и систему прогнозирования текучести кадров. «Хэдхантер» активно развивает мобильное направление - приложение компании скачали более 10 миллионов раз. Компания занимает лидирующие позиции на рынке онлайн-рекрутинга с долей около 65% в сегменте B2B услуг по подбору персонала.",2000,"Москва, Россия","1,500+","IT-сервисы, HR-технологии",Дмитрий Сергиенков,https://hh.ru
HIMCP,"ПАО «Химпром» (привилегированные акции) - один из крупнейших химических производственных комплексов России, расположенный в городе Новочебоксарск (Чувашская Республика). Компания специализируется на производстве широкого спектра химической продукции, включая хлор, каустическую соду, поливинилхлорид (ПВХ), хлорорганические соединения и средства защиты растений. Предприятие входит в тройку крупнейших российских производителей каустической соды с долей рынка около 15%. «Химпром» обладает уникальной производственной цепочкой полного цикла - от переработки соли до выпуска готовой химической продукции. Компания активно модернизирует производство, внедряя экологически безопасные технологии, включая мембранный метод получения каустика. В 2023 году запущен новый комплекс по производству современного ПВХ для строительной отрасли. Около 30% продукции экспортируется в страны СНГ, Европы и Азии. Привилегированные акции компании отличаются стабильными дивидендными выплатами, составляющими в среднем 8-12% от чистой прибыли.",1960,"Новочебоксарск, Чувашская Республика, Россия","3,434+",Химическая промышленность,Сергей Науман,https://www.himprom.com
HNFG,"ПАО «HENDERSON» (HNFG) — крупнейший федеральный ритейлер мужской моды премиум-класса в России с 30-летней историей. Компания специализируется на разработке, производстве и розничной продаже мужской одежды, обуви и аксессуаров в сегментах premium и affordable luxury. HENDERSON управляет сетью из 158 собственных салонов в 64 городах России, от Калининграда до Владивостока, а также представлен на ведущих российских маркетплейсах. Особенностью компании является услуга индивидуального пошива HENDERSON Su Misura. В 2022 году бренд начал международную экспансию, открыв три салона в Армении по системе франчайзинга. Компания активно развивает omnichannel-стратегию, сочетая офлайн-ритейл с цифровыми каналами продаж. HENDERSON владеет полным производственным циклом — от дизайна до готовой продукции, что позволяет контролировать качество на всех этапах. В ассортименте представлены коллекции для делового стиля, casual и особых мероприятий. Компания регулярно получает награды в области мужской моды и является официальным партнером ключевых светских событий в России.",1993,"Москва, Россия",2+,Модная индустрия и розничная торговля,Рубен Арутюнян,https://ir.henderson.ru
